Date,TAIEX,DJIA,Close,SP500
2002/11/19,4726.5,8804.839844,1468.73999,930.549988
2002/11/20,4653.5,8849.400391,1481.900024,932.869995
2002/11/21,4579.450195,8676.419922,1444.430054,913.309998
2002/11/22,4707.609863,8931.679688,1487.939941,938.869995
2002/11/25,4723.160156,8896.089844,1478.780029,936.309998
2002/11/26,4677.890137,8862.570313,1484.780029,934.530029
2002/11/27,4633.029785,8742.929688,1448.959961,920.75
2002/11/28,4612.600098,8737.849609,1430.349976,917.580017
2002/11/29,4646.689941,8623.280273,1410.75,906.549988
2002/12/2,4683.180176,8645.769531,1422.439941,912.22998
2002/12/3,4793.930176,8473.410156,1367.140015,892
2002/12/4,4727.490234,8574.259766,1390.76001,904.450012
2002/12/5,4755.399902,8589.139648,1396.589966,904.960022
2002/12/6,4738.97998,8538.400391,1399.550049,901.580017
2002/12/9,4823.669922,8433.709961,1362.420044,889.47998
2002/12/10,4755.009766,8627.400391,1400.329956,910.400024
2002/12/11,4699.410156,8535.389648,1392.050049,902.98999
2002/12/12,4669.700195,8447.349609,1361.51001,891.119995
2002/12/13,4588.140137,8364.799805,1354.099976,884.25
2002/12/16,4582.049805,8511.320313,1363.050049,895.76001
2002/12/17,4545.620117,8493.290039,1381.689941,897.380005
2002/12/18,4535.930176,8448.110352,1372.469971,892.469971
2002/12/19,4549.22998,8432.610352,1367.890015,889.659973
2002/12/20,4595.669922,8303.780273,1348.310059,875.400024
2002/12/23,4572.77002,8332.849609,1339.540039,879.390015
2002/12/24,4544.5,8341.629883,1335.51001,879.820007
2002/12/25,4484.430176,8607.519531,1384.849976,909.030029
2002/12/26,4567.370117,8601.69043,1387.079956,908.590027
2002/12/27,4547.319824,8773.570313,1421.319946,929.01001
2002/12/30,4457.75,8740.589844,1431.569946,922.929993
2002/12/31,4452.450195,8595.30957,1401.069946,909.929993
2003/1/1,null,8776.179688,1438.459961,927.570007
2003/1/2,4524.870117,8784.889648,1447.719971,927.570007
2003/1/3,4626.319824,8785.980469,1446.040039,926.26001
2003/1/6,4689.859863,8842.620117,1460.98999,931.659973
2003/1/7,4701.080078,8723.179688,1438.800049,918.219971
2003/1/8,4836.930176,8697.870117,1423.75,914.599976
2003/1/9,4813.72998,8586.740234,1376.189941,901.780029
2003/1/10,4850.799805,8442.900391,1364.25,887.619995
2003/1/13,4991.259766,8318.730469,1359.47998,878.359985
2003/1/14,4992.419922,8369.469727,1388.27002,887.340027
2003/1/15,5017.700195,8131.009766,1342.140015,861.400024
2003/1/16,4943.290039,7989.560059,1325.27002,847.47998
2003/1/17,4907.779785,8088.839844,1342.180054,858.539978
2003/1/20,4951.029785,8110.709961,1358.060059,864.359985
2003/1/21,4945.870117,7945.129883,1322.349976,844.609985
2003/1/22,4993.27002,8053.810059,1320.910034,855.700012
2003/1/23,5078.799805,8109.819824,1323.790039,860.320007
2003/1/24,5057.319824,8013.290039,1306.150024,848.200012
2003/1/27,4972.589844,7985.180176,1301.5,843.590027
2003/1/28,5015.160156,7929.299805,1301.72998,838.150024
2003/1/29,null,7864.22998,1282.469971,829.690002
2003/1/30,null,7920.109863,1296.680054,835.969971
2003/1/31,null,7843.109863,1295.459961,829.200012
2003/2/3,null,7758.169922,1278.969971,818.679993
2003/2/4,null,7749.870117,1277.439941,817.369995
2003/2/5,null,7908.799805,1310.170044,834.890015
2003/2/6,4833.580078,8041.149902,1346.540039,851.169983
2003/2/7,4735.370117,8000.600098,1334.319946,845.130005
2003/2/10,4643.870117,7914.959961,1331.22998,837.099976
2003/2/11,4618.97998,8018.109863,1349.02002,848.169983
2003/2/12,4624.870117,7858.240234,1322.380005,832.580017
2003/2/13,4507.959961,7909.5,1328.97998,838.570007
2003/2/14,4493.990234,7806.97998,1303.680054,827.549988
2003/2/17,4705.080078,7884.990234,1323.939941,837.280029
2003/2/18,4605.310059,7891.080078,1337.52002,841.150024
2003/2/19,4550.830078,7837.859863,1320.290039,834.809998
2003/2/20,4550.700195,7704.870117,1307.77002,821.98999
2003/2/21,4548.350098,7775.600098,1314.400024,829.849976
2003/2/24,4609.200195,7673.990234,1302.890015,822.099976
2003/2/25,4454.350098,7740.029785,1305.290039,828.890015
2003/2/26,4456.689941,7568.180176,1278.369995,807.47998
2003/2/27,4432.459961,7524.060059,1271.469971,800.72998
2003/2/28,null,7552.069824,1279.23999,804.190002
2003/3/3,4526.689941,7821.75,1340.77002,831.900024
2003/3/4,4499.689941,7859.709961,1340.329956,833.27002
2003/3/5,4418.109863,8141.919922,1392.27002,862.789978
2003/3/6,4397.439941,8194.230469,1400.550049,866.450012
2003/3/7,4350.589844,8265.450195,1397.069946,874.02002
2003/3/10,4319.990234,8286.599609,1402.77002,875.669983
2003/3/11,4260.450195,8521.969727,1421.839966,895.789978
2003/3/12,4328.149902,8214.679688,1369.780029,864.22998
2003/3/13,4378.990234,8280.230469,1391.01001,874.73999
2003/3/14,4476.169922,8229.879883,1387.449951,869.950012
2003/3/17,4357.990234,8201.450195,1384.25,868.52002
2003/3/18,4539.720215,8145.77002,1369.599976,863.5
2003/3/19,4515.069824,7992.129883,1341.170044,848.179993
2003/3/20,4599.25,8069.859863,1348.300049,858.47998
2003/3/21,4586.919922,8285.05957,1396.719971,880.900024
2003/3/24,4570.680176,8240.379883,1396.579956,876.450012
2003/3/25,4498.830078,8277.150391,1383.51001,878.849976
2003/3/26,4496.049805,8300.410156,1389.51001,879.929993
2003/3/27,4514.240234,8298.919922,1382.939941,878.289978
2003/3/28,4477.009766,8197.94043,1356.73999,865.98999
2003/3/31,4321.220215,8221.330078,1365.609985,871.580017
2003/4/1,4337.609863,8203.410156,1358.849976,868.299988
2003/4/2,4311.560059,8351.099609,1384.949951,885.22998
2003/4/3,4358.390137,8402.360352,1391.01001,890.809998
2003/4/4,4499.180176,8257.610352,1394.719971,879.909973
2003/4/7,4575.830078,8337.650391,1425.5,893.580017
2003/4/8,4552.450195,8328.900391,1424.369995,892.01001
2003/4/9,4537.390137,8484.990234,1451.359985,911.369995
2003/4/10,4541.359863,8515.660156,1466.160034,919.02002
2003/4/11,4530.399902,8440.040039,1457.22998,911.429993
2003/4/14,4459.810059,8306.349609,1434.540039,898.809998
2003/4/15,4487.589844,8471.610352,1462.23999,914.840027
2003/4/16,4609.319824,8502.990234,1471.300049,917.840027
2003/4/17,4566.660156,8480.089844,1464.310059,916.919983
2003/4/18,4658.299805,8454.25,1472.560059,916.299988
2003/4/21,4648.120117,8582.679688,1502.880005,930.080017
2003/4/22,4556.100098,8531.570313,1504.040039,926.549988
2003/4/23,4564.930176,8588.360352,1523.709961,934.390015
2003/4/24,4374.939941,8560.629883,1506.76001,929.619995
2003/4/25,4233.540039,8491.219727,1489.689941,920.27002
2003/4/28,4139.5,8604.599609,1520.150024,933.409973
2003/4/29,4200.319824,8726.730469,1541.400024,945.109985
2003/4/30,4148.069824,8679.25,1539.680054,942.299988
2003/5/1,null,8647.820313,1534.900024,939.280029
2003/5/2,4187.819824,8713.139648,1551.380005,946.669983
2003/5/5,4202.120117,8678.969727,1538.530029,944.299988
2003/5/6,4220.450195,8493.389648,1492.77002,920.77002
2003/5/7,4275.910156,8491.360352,1491.089966,919.72998
2003/5/8,4191.25,8516.429688,1489.869995,923.419983
2003/5/9,4244.180176,8594.019531,1507.550049,931.869995
2003/5/12,4261.02002,8601.379883,1510.089966,933.219971
2003/5/13,4334.589844,8781.349609,1556.689941,951.47998
2003/5/14,4341.100098,8793.120117,1563.23999,953.219971
2003/5/15,4331.240234,8711.179688,1574.949951,949.640015
2003/5/16,4283.77002,8850.259766,1595.910034,963.590027
2003/5/19,4255.799805,8897.80957,1590.75,967
2003/5/20,4251.589844,8922.950195,1603.560059,971.559998
2003/5/21,4216.640137,9038.980469,1634.650024,986.23999
2003/5/22,4271.299805,9041.299805,1646.01001,990.140015
2003/5/23,4349.52002,9062.790039,1627.420044,987.76001
2003/5/26,4465.569824,8980,1603.969971,975.929993
2003/5/27,4451.109863,9054.889648,1627.670044,984.840027
2003/5/28,4474.410156,9183.219727,1646.02002,997.47998
2003/5/29,4543.040039,9196.549805,1653.619995,998.51001
2003/5/30,4555.899902,9117.120117,1626.48999,988.609985
2003/6/2,4692.939941,9318.959961,1666.579956,1010.73999
2003/6/3,4678.080078,9323.019531,1668.439941,1011.659973
2003/6/4,null,9293.799805,1677.140015,1010.090027
2003/6/5,4738.339844,9179.530273,1648.640015,994.700012
2003/6/6,4740.450195,9200.75,1644.719971,995.690002
2003/6/9,4826.939941,9072.950195,1610.75,981.640015
2003/6/10,4832.200195,9109.849609,1605.609985,983.450012
2003/6/11,4804.649902,9011.530273,1602.660034,975.320007
2003/6/12,4878.430176,9079.040039,1634.01001,985.820007
2003/6/13,4881.899902,8989.049805,1625.26001,976.219971
2003/6/16,4892.359863,8985.44043,1622.800049,974.5
2003/6/17,4973.189941,9040.950195,1640.130005,982.320007
2003/6/18,4999.069824,9142.839844,1678.72998,993.75
2003/6/19,5048.910156,9070.209961,1663.459961,985.700012
2003/6/20,5002.580078,9216.790039,1720.709961,1004.419983
2003/6/23,4921.720215,9223.089844,1746.459961,1007.840027
2003/6/24,4909.310059,9156.209961,1747.459961,1002.210022
2003/6/25,4933.790039,9036.040039,1715.859985,988.700012
2003/6/26,4894.009766,9119.589844,1733.930054,998.140015
2003/6/27,4877.899902,9177.150391,1754.819946,1003.859985
2003/6/30,4872.149902,9128.969727,1753.209961,1000.419983
2003/7/1,5017.779785,9094.589844,1747.969971,994.090027
2003/7/2,5095.240234,9050.820313,1698.02002,981.72998
2003/7/3,5095.310059,9188.150391,1708.5,993.320007
2003/7/4,5151.850098,9096.69043,1681.410034,978.799988
2003/7/7,5322.259766,9158.450195,1706.099976,988.109985
2003/7/8,5367.970215,9194.240234,1719.180054,988.609985
2003/7/9,5358.910156,9112.509766,1701.420044,981.599976
2003/7/10,5282.379883,9284.570313,1730.699951,998.679993
2003/7/11,5239.959961,9266.509766,1735.359985,996.52002
2003/7/14,5349.939941,9204.459961,1731.369995,989.280029
2003/7/15,5335.859863,9200.049805,1720.910034,987.48999
2003/7/16,5413.870117,9233.799805,1735.02002,990.309998
2003/7/17,5299.509766,9153.969727,1715.619995,980.150024
2003/7/18,5287.379883,9186.040039,1714.060059,982.820007
2003/7/21,5219.299805,9036.320313,1673.5,965.460022
2003/7/22,5261.009766,9061.740234,1652.680054,967.080017
2003/7/23,5287.890137,9126.450195,1652.180054,974.119995
2003/7/24,5402.75,9191.089844,1644.030029,977.590027
2003/7/25,5394.75,9217.349609,1661.51001,980.590027
2003/7/28,5451.799805,9310.05957,1687.01001,990.349976
2003/7/29,5342.459961,9271.759766,1686.609985,984.030029
2003/7/30,5307.180176,9310.55957,1700.339966,990.51001
2003/7/31,5318.339844,9321.69043,1702.01001,990.669983
2003/8/1,5390.509766,9412.450195,1739.48999,999.73999
2003/8/4,5377.189941,9428.900391,1761.109985,1002.349976
2003/8/5,5259.450195,9397.509766,1760.540039,1000.299988
2003/8/6,5225.830078,9423.679688,1777.550049,1003.27002
2003/8/7,5259.069824,9348.870117,1765.319946,993.059998
2003/8/8,5232.549805,9317.639648,1764.310059,993.710022
2003/8/11,5214.600098,9340.450195,1770.650024,996.72998
2003/8/12,5255.240234,9333.790039,1782.130005,996.789978
2003/8/13,5442.27002,9374.209961,1800.180054,1002.840027
2003/8/14,5436.75,9415.820313,1810.449951,1008.01001
2003/8/15,5488.740234,9523.269531,1841.47998,1021.98999
2003/8/18,5516.799805,9568.459961,1852.900024,1026.27002
2003/8/19,5512.160156,9587.900391,1868.969971,1027.969971
